date,Close,log_return,garch_vol
2018-01-02,14675.11,0.09239180672703995,0.07137617227926739
2018-01-03,14919.51,0.016516890986130406,0.07283078240066197
2018-01-04,15059.54,0.00934192500328912,0.06836858969429982
2018-01-05,16960.39,0.11886894796584535,0.06410954670402101
2018-01-06,17069.79,0.006429609063577146,0.07071551851032556
2018-01-07,16150.03,-0.05538832719388509,0.06624495382516563
2018-01-08,14902.54,-0.0803902390303346,0.06446029481423063
2018-01-09,14400.0,-0.03430346163979081,0.06547135875495093
2018-01-10,14907.09,0.03460873212019244,0.06229794588277286
2018-01-11,13238.78,-0.11868653745400337,0.059428355627689694
2018-01-12,13740.01,0.0371616133478323,0.06704681139276208
2018-01-13,14210.0,0.03363392751303351,0.06389072258923167
2018-01-14,13474.99,-0.05311056742925224,0.0608224463248023
2018-01-15,13539.93,0.004807722923947821,0.0594453470750794
2018-01-16,10900.0,-0.21688030836860683,0.05581552749007959
2018-01-17,10988.79,0.008112873027979361,0.08585850807550781
2018-01-18,10961.97,-0.0024436523697719537,0.08028375151710306
2018-01-19,11474.98,0.045737003132394705,0.07507971691231466
2018-01-20,12799.94,0.10927147038888485,0.07170244550922295
2018-01-21,11530.0,-0.10448814913361737,0.07536048892606777
2018-01-22,10760.05,-0.06911213271797756,0.0777492286134184
2018-01-23,10799.18,0.0036300037587384537,0.07588504168370375
2018-01-24,11349.99,0.04974665754802565,0.07100968934074287
2018-01-25,11175.27,-0.015513561588170077,0.06829048876154849
2018-01-26,11089.0,-0.0077496753105048555,0.06415493227664805
2018-01-27,11491.0,0.03561049430441798,0.060195094369897555
2018-01-28,11879.95,0.0332879848959351,0.05757968551169362
2018-01-29,11251.0,-0.05439509158249756,0.05507054164919288
2018-01-30,10237.51,-0.09439858760924658,0.054494432848326974
2018-01-31,10285.1,0.0046378199753878135,0.05915844403445616
2018-02-01,9224.52,-0.10883108990254975,0.05554932340256087
2018-02-02,8873.03,-0.0388488171614263,0.062357689583201016
2018-02-03,9199.96,0.036182797328356386,0.05973929343348041
2018-02-04,8184.81,-0.11691913886065741,0.05720212995066112
2018-02-05,6939.99,-0.1649796637633152,0.06503351992851149
2018-02-06,7652.14,0.09768501368551519,0.07993723679623492
2018-02-07,7599.0,-0.0069686875933516745,0.08078212275411512
2018-02-08,7784.02,0.024056254565827828,0.07556923897517985
2018-02-09,8683.92,0.10940012537559518,0.07110898161619446
2018-02-10,8533.98,-0.017417198432918113,0.07489005826131864
2018-02-11,8063.88,-0.05666101093024345,0.07029139492779009
2018-02-12,8903.0,0.0989934683256255,0.06817564278989113
2018-02-13,8539.9,-0.04163900046148683,0.07100280299485356
2018-02-14,9449.99,0.10126438517398562,0.06774918140995004
2018-02-15,10000.09,0.05658040964951283,0.07096367630193023
2018-02-16,10159.98,0.0158623806909155,0.0687700195700737
2018-02-17,11039.55,0.08302780550417488,0.06460562608628312
2018-02-18,10383.43,-0.0612730128352883,0.06591737029974407
2018-02-19,11153.0,0.07149725369905191,0.06469202265641388
2018-02-20,11200.99,0.004293647239373755,0.06465084619584467
2018-02-21,10437.6,-0.07058749628237315,0.060619427510749314
2018-02-22,9811.04,-0.06190638874009302,0.061030934761885314
2018-02-23,10131.04,0.032095696112001804,0.06045788663181481
2018-02-24,9694.51,-0.04404423244020528,0.05761525147154201
2018-02-25,9590.0,-0.010838857005756708,0.0558393709533424
2018-02-26,10324.0,0.0737503929610206,0.05257747546990625
2018-02-27,10569.04,0.023457690816911736,0.05459623842242966
2018-02-28,10326.76,-0.023190388304421106,0.051845335849966645
2018-03-01,10920.0,0.055857385947900795,0.04932512036395545
2018-03-02,11039.0,0.010838486719455531,0.04965586304962767
2018-03-03,11464.48,0.0378191028154955,0.046894429210982747
2018-03-04,11515.0,0.004396973420938366,0.045793194200596715
2018-03-05,11454.0,-0.005311519300983392,0.043242857210865175
2018-03-06,10716.48,-0.06655627045932455,0.04091502071163694
2018-03-07,9910.0,-0.07823839517044462,0.044007902354687205
2018-03-08,9271.64,-0.06658406963284946,0.048275175561951454
2018-03-09,9227.0,-0.0048263101126284624,0.05005931205198706
2018-03-10,8770.22,-0.05077207700814945,0.047166701456627054
2018-03-11,9533.57,0.08345736243611412,0.04724349525191409
2018-03-12,9131.34,-0.04310680129324851,0.05166490375168595
2018-03-13,9150.0,0.002041426556296244,0.050462907862398536
2018-03-14,8170.0,-0.11328497041551877,0.047518170598522855
2018-03-15,8240.98,0.00865036001644981,0.05716951029086607
2018-03-16,8260.0,0.0023053186445256557,0.05376303706650657
2018-03-17,7824.8,-0.0541264105387409,0.05055848543737199
2018-03-18,8189.99,0.04561449986886501,0.05053472732322186
2018-03-19,8600.0,0.04884952639645057,0.049681676506702716
2018-03-20,8909.98,0.03540979355182472,0.049236241646668
2018-03-21,8885.0,-0.0028075352046723623,0.04769454663299384
2018-03-22,8722.9,-0.018412710167135415,0.04497620079311291
2018-03-23,8898.03,0.01987815248285507,0.0428612699998305
2018-03-24,8546.86,-0.040265939888987745,0.041007497541951696
2018-03-25,8470.15,-0.009015745963031563,0.04083321213640787
