date,10Y,VIX,DXY
,^TNX,^VIX,DX-Y.NYB
2021-03-10 00:00:00+00:00,1.5199999809265137,,
2021-03-11 00:00:00+00:00,1.5269999504089355,21.90999984741211,91.41999816894531
2021-03-12 00:00:00+00:00,1.6349999904632568,20.690000534057617,91.68000030517578
2021-03-15 00:00:00+00:00,1.6069999933242798,20.030000686645508,91.83000183105469
2021-03-16 00:00:00+00:00,1.621000051498413,19.790000915527344,91.87000274658203
2021-03-17 00:00:00+00:00,1.6410000324249268,19.229999542236328,91.4000015258789
2021-03-18 00:00:00+00:00,1.7300000190734863,21.579999923706055,91.8499984741211
2021-03-19 00:00:00+00:00,1.7319999933242798,20.950000762939453,91.91999816894531
2021-03-22 00:00:00+00:00,1.684000015258789,18.8799991607666,91.80000305175781
2021-03-23 00:00:00+00:00,1.6380000114440918,20.299999237060547,92.33999633789062
2021-03-24 00:00:00+00:00,1.6139999628067017,21.200000762939453,92.52999877929688
2021-03-25 00:00:00+00:00,1.6139999628067017,19.809999465942383,92.87999725341797
2021-03-26 00:00:00+00:00,1.659999966621399,18.860000610351562,92.7699966430664
2021-03-29 00:00:00+00:00,1.7209999561309814,20.739999771118164,92.94000244140625
2021-03-30 00:00:00+00:00,1.7259999513626099,19.610000610351562,93.30000305175781
2021-03-31 00:00:00+00:00,1.746000051498413,19.399999618530273,93.2300033569336
2021-04-01 00:00:00+00:00,1.6790000200271606,17.329999923706055,92.93000030517578
2021-04-05 00:00:00+00:00,1.7200000286102295,17.90999984741211,92.5999984741211
2021-04-06 00:00:00+00:00,1.656000018119812,18.1200008392334,92.33999633789062
2021-04-07 00:00:00+00:00,1.652999997138977,17.15999984741211,92.45999908447266
2021-04-08 00:00:00+00:00,1.6319999694824219,16.950000762939453,92.05999755859375
2021-04-09 00:00:00+00:00,1.6660000085830688,16.690000534057617,92.16000366210938
2021-04-12 00:00:00+00:00,1.6749999523162842,16.90999984741211,92.13999938964844
2021-04-13 00:00:00+00:00,1.6230000257492065,16.649999618530273,91.8499984741211
2021-04-14 00:00:00+00:00,1.6380000114440918,16.989999771118164,91.69000244140625
2021-04-15 00:00:00+00:00,1.5299999713897705,16.56999969482422,91.66999816894531
2021-04-16 00:00:00+00:00,1.5729999542236328,16.25,91.55999755859375
2021-04-19 00:00:00+00:00,1.6009999513626099,17.290000915527344,91.06999969482422
2021-04-20 00:00:00+00:00,1.562000036239624,18.68000030517578,91.23999786376953
2021-04-21 00:00:00+00:00,1.5640000104904175,17.5,91.16000366210938
2021-04-22 00:00:00+00:00,1.5540000200271606,18.709999084472656,91.33000183105469
2021-04-23 00:00:00+00:00,1.5670000314712524,17.329999923706055,90.86000061035156
2021-04-26 00:00:00+00:00,1.5700000524520874,17.639999389648438,90.80999755859375
2021-04-27 00:00:00+00:00,1.621999979019165,17.559999465942383,90.91000366210938
2021-04-28 00:00:00+00:00,1.6200000047683716,17.280000686645508,90.61000061035156
2021-04-29 00:00:00+00:00,1.6399999856948853,17.610000610351562,90.61000061035156
2021-04-30 00:00:00+00:00,1.63100004196167,18.610000610351562,91.27999877929688
2021-05-03 00:00:00+00:00,1.6069999933242798,18.309999465942383,90.94999694824219
2021-05-04 00:00:00+00:00,1.5920000076293945,19.479999542236328,91.29000091552734
2021-05-05 00:00:00+00:00,1.5839999914169312,19.149999618530273,91.30999755859375
2021-05-06 00:00:00+00:00,1.5609999895095825,18.389999389648438,90.94999694824219
2021-05-07 00:00:00+00:00,1.5770000219345093,16.690000534057617,90.2300033569336
2021-05-10 00:00:00+00:00,1.6019999980926514,19.65999984741211,90.20999908447266
2021-05-11 00:00:00+00:00,1.6239999532699585,21.84000015258789,90.13999938964844
2021-05-12 00:00:00+00:00,1.6950000524520874,27.59000015258789,90.70999908447266
2021-05-13 00:00:00+00:00,1.6679999828338623,23.1299991607666,90.75
2021-05-14 00:00:00+00:00,1.6349999904632568,18.809999465942383,90.31999969482422
