date,volatility
2023-06-11,0.025190418279779355
2023-06-12,0.024935786814646393
2023-06-13,0.023880111898303063
2023-06-14,0.02478047657344239
2023-06-15,0.025111522297095828
2023-06-16,0.026014880315935466
2023-06-17,0.023781012506710334
2023-06-18,0.02370567415757087
2023-06-19,0.024187704017491568
2023-06-20,0.026860528508594526
2023-06-21,0.029406652864028698
2023-06-22,0.02938682798198
2023-06-23,0.029646879842140785
2023-06-24,0.029749187458966105
2023-06-25,0.026615440257580638
2023-06-26,0.024087774208943345
2023-06-27,0.022384896047700453
2023-06-28,0.023242713059949006
2023-06-29,0.023207820251859624
2023-06-30,0.02208150693692461
2023-07-01,0.022075840132031725
2023-07-02,0.022039459640626098
2023-07-03,0.022052708399344676
2023-07-04,0.02060132110525828
2023-07-05,0.020918089308060932
2023-07-06,0.021308581326567752
2023-07-07,0.021392673883214666
2023-07-08,0.021260294347872025
2023-07-09,0.02120859615146742
2023-07-10,0.017910638623085666
2023-07-11,0.012250099454628105
2023-07-12,0.012373777319944906
2023-07-13,0.013411786239880676
2023-07-14,0.015798760730116122
2023-07-15,0.015793101393809066
2023-07-16,0.015731754687500547
2023-07-17,0.015394143795115306
2023-07-18,0.014864471226900985
2023-07-19,0.014579219757725274
2023-07-20,0.014587570527715895
2023-07-21,0.014582188495143566
2023-07-22,0.014584645567410457
2023-07-23,0.014147717236384607
2023-07-24,0.015358942475839698
2023-07-25,0.015320938032698182
2023-07-26,0.014773945380206249
2023-07-27,0.014308974782542666
2023-07-28,0.014350794193046345
2023-07-29,0.014350968925091023
2023-07-30,0.014173697970527432
2023-07-31,0.014024946990173735
2023-08-01,0.014537956492257222
2023-08-02,0.012191806301523276
2023-08-03,0.009477534649984123
2023-08-04,0.009475887176270304
2023-08-05,0.009476538371595006
2023-08-06,0.00948763862451006
2023-08-07,0.00940300592864142
2023-08-08,0.010426064903587898
2023-08-09,0.010489988409084954
2023-08-10,0.010486925908980142
2023-08-11,0.01046513943319048
2023-08-12,0.010184634890829882
2023-08-13,0.007610680986189341
2023-08-14,0.007658984234933832
2023-08-15,0.00781393229865173
2023-08-16,0.008544115634735918
2023-08-17,0.01826576892876187
2023-08-18,0.018578956944415376
2023-08-19,0.01864242460262714
2023-08-20,0.018733541374665427
2023-08-21,0.018058730242094388
2023-08-22,0.017874968864122976
2023-08-23,0.01839018002199439
2023-08-24,0.018413323722792394
2023-08-25,0.018393548339645426
2023-08-26,0.0183633283399752
2023-08-27,0.018337812882386506
2023-08-28,0.01747941694091391
2023-08-29,0.023092129482075757
2023-08-30,0.02324798382745225
2023-08-31,0.025425875288170315
2023-09-01,0.02538623798439528
2023-09-02,0.025458976681239594
2023-09-03,0.02545054958437528
2023-09-04,0.025446569908348624
2023-09-05,0.02534694380751299
2023-09-06,0.01960255428045574
2023-09-07,0.019533333078848716
2023-09-08,0.019767376473217618
2023-09-09,0.019748925817083325
2023-09-10,0.019748438247615484
2023-09-11,0.02058135559374949
2023-09-12,0.02126902816730478
2023-09-13,0.021444270459159028
2023-09-14,0.02155209451091123
2023-09-15,0.02154570717727032
2023-09-16,0.021549709207610557
2023-09-17,0.021555759174989843
2023-09-18,0.01644613675189054
2023-09-19,0.01661594545763674
2023-09-20,0.011856150740928988
2023-09-21,0.012822013234796424
2023-09-22,0.01282208986962181
2023-09-23,0.012812768205299063
2023-09-24,0.013087058264487772
2023-09-25,0.013079240617045955
2023-09-26,0.013104032081780011
2023-09-27,0.012446997339683243
2023-09-28,0.013143666265330419
2023-09-29,0.01321166674590017
2023-09-30,0.013172791653618916
2023-10-01,0.01371340968940369
2023-10-02,0.013669744286297086
2023-10-03,0.013442800875955367
2023-10-04,0.013495179723359042
2023-10-05,0.013939805141706094
2023-10-06,0.014444473312598355
2023-10-07,0.01442260857786947
2023-10-08,0.014375562339984375
2023-10-09,0.014270049994902227
2023-10-10,0.01435899025744581
2023-10-11,0.014228730329112064
2023-10-12,0.014272394972571935
2023-10-13,0.014291507742175474
2023-10-14,0.013967256439726457
2023-10-15,0.014145323433105527
2023-10-16,0.01767282690643094
2023-10-17,0.01775818117597386
2023-10-18,0.017117404575948295
2023-10-19,0.017222690368000646
2023-10-20,0.01846478850005942
2023-10-21,0.016760430828196973
2023-10-22,0.016002395086505056
2023-10-23,0.027042930039775013
2023-10-24,0.02727520198716146
2023-10-25,0.02672802538076909
2023-10-26,0.027105162933215604
2023-10-27,0.02732866182832279
2023-10-28,0.027219259021674585
2023-10-29,0.026721063404081116
2023-10-30,0.026537443906130078
2023-10-31,0.025610565841392083
2023-11-01,0.025354552142026678
2023-11-02,0.026024965401473442
2023-11-03,0.026230509297072394
2023-11-04,0.026237270053016393
2023-11-05,0.024959235081907897
2023-11-06,0.02484023539300667
2023-11-07,0.024637562930302514
2023-11-08,0.02465631825506489
2023-11-09,0.024520860533535537
2023-11-10,0.024539790083784388
2023-11-11,0.02473033652053097
2023-11-12,0.012242447292360958
2023-11-13,0.012234351526258845
2023-11-14,0.013386496948583576
2023-11-15,0.019190673219803424
2023-11-16,0.022089464949594274
2023-11-17,0.022177226784853146
2023-11-18,0.022094344769121213
2023-11-19,0.02244424419347283
2023-11-20,0.022447741779214485
2023-11-21,0.02457585112197254
2023-11-22,0.02635473172322973
2023-11-23,0.026296733607939323
2023-11-24,0.02631398350689591
2023-11-25,0.026289023134684616
2023-11-26,0.026441885704884493
2023-11-27,0.026471492102235043
2023-11-28,0.026612605690311535
2023-11-29,0.025850086278169353
2023-11-30,0.025644029694456255
2023-12-01,0.026179310625581986
2023-12-02,0.026444182286412897
2023-12-03,0.026108749902614095
2023-12-04,0.026997172170489084
2023-12-05,0.025495736379022818
2023-12-06,0.022625789965367297
2023-12-07,0.023093788479078992
2023-12-08,0.023121715120490768
2023-12-09,0.023360374692388622
2023-12-10,0.02336916917466133
2023-12-11,0.024968190183193576
2023-12-12,0.02320662541543734
2023-12-13,0.02391143748167251
2023-12-14,0.023905720299303098
2023-12-15,0.02494378936000562
2023-12-16,0.02471713174983655
2023-12-17,0.025365313378401276
2023-12-18,0.025916365751614275
2023-12-19,0.02611881273473054
2023-12-20,0.02669741835390494
2023-12-21,0.026374501312516247
2023-12-22,0.02620204065058889
2023-12-23,0.026267878087214275
2023-12-24,0.02432390331457651
2023-12-25,0.021773624293412615
2023-12-26,0.022396854132908317
2023-12-27,0.022826157988106943
2023-12-28,0.022732029334060454
2023-12-29,0.02276060612126151
2023-12-30,0.022760658498741558
2023-12-31,0.018520226444665746
