date,long_liq,short_liq,liq_imbalance,open_interest,funding_rate,long_short_ratio,volume,trade_count,target_return
2020-05-31,876.3509999999994,137.51700000000005,738.8339999999994,34653.577,0.01,0.8168604651162791,219829.35599976417,463176,0.07663155167361424
2020-06-01,247.17700000000028,9030.44100000036,-8783.264000000361,32434.987,0.000938,0.8228217280349982,333733.9309999534,626393,-0.06927426238340928
2020-06-02,4777.833000000022,487.0759999999996,4290.757000000022,25596.137,0.01,0.8597731076808628,337272.93299998087,623178,0.015450457159570163
2020-06-03,503.9359999999997,705.9490000000001,-202.01300000000035,27690.809,0.01,1.295684113865932,185389.41199988817,381655,0.012626033176124096
2020-06-04,902.473999999999,1051.1889999999987,-148.7149999999997,29231.15,0.01,1.2007042253521127,264166.6590000168,524744,-0.017300596060589868
2020-06-05,1289.0570000000016,164.13500000000002,1124.9220000000016,29821.789,0.01,0.9817677368212444,236245.27499988416,445571,0.004680770035724535
2020-06-06,527.8559999999995,278.06299999999965,249.7929999999999,29775.224,0.01,1.0863759649488838,152526.70299997542,331982,0.008312909833360749
2020-06-07,1612.1819999999957,947.8009999999985,664.3809999999972,29823.198,0.01,1.1281123643328368,253986.31299983227,471036,0.0035864650046324442
2020-06-08,270.3559999999999,206.50499999999988,63.851,31154.445,0.01,0.9708316909735908,155143.5399999627,310117,-0.0009798287004336714
2020-06-09,899.5459999999979,540.8289999999994,358.7169999999985,30090.289,0.01,0.9406171162429652,204422.8539999134,382189,0.011453300920539533
2020-06-10,560.968999999999,1442.961999999999,-881.993,29805.398,0.01,0.8857250612860644,193628.11399998888,376655,-0.06311380730512184
2020-06-11,7051.6380000000245,449.0809999999997,6602.557000000024,32241.266,0.01,0.8789928598271327,404046.6129997659,718154,0.019709870061973334
2020-06-12,505.72499999999974,673.1210000000001,-167.39600000000036,30665.789,0.0097139999999999,1.2517451024544024,211293.44999993444,444688,0.0008670183509327245
2020-06-13,199.46499999999995,180.8139999999998,18.651000000000153,30404.93,0.01,1.0576131687242798,113448.89199998711,241051,-0.01395047136177574
2020-06-14,800.8829999999992,227.495,573.3879999999992,32020.463,0.01,1.0777062123415748,143978.52299999908,290335,0.008942883921490008
2020-06-15,3378.3710000000347,1774.8509999999944,1603.5200000000402,34879.141,-0.018213,1.02757502027575,413865.72699953336,765496,0.010507911061560904
2020-06-16,412.74799999999976,987.2099999999984,-574.4619999999986,33490.299,0.01,0.8040772145047809,225622.64499984548,441558,-0.006366285463242249
2020-06-17,1481.1879999999976,281.6029999999997,1199.5849999999978,34054.496,0.0075099999999999,0.8667164457718872,227477.3899998769,420012,-0.00836226576684318
2020-06-18,410.4749999999997,99.65500000000006,310.8199999999996,35563.928,0.007624,1.077274615704196,158315.87999995757,317462,-0.008139514519044155
2020-06-19,468.9029999999997,344.20799999999963,124.69500000000004,36472.084,0.01,1.0420665713702266,219510.05899988295,397593,0.005219309107221903
2020-06-20,744.442999999999,363.01199999999966,381.4309999999993,36424.554,0.01,1.1385799828913603,154462.28999998406,285470,-0.006889835356611584
2020-06-21,126.50200000000008,113.91500000000003,12.587000000000046,36415.321,0.01,1.0308692120227456,110599.55799999536,214332,0.04120626916014203
2020-06-22,131.049,3043.2120000000036,-2912.1630000000036,36173.74,0.01,1.1017234131988232,260460.56399991547,423970,-0.006297086976150723
2020-06-23,254.57400000000007,49.72300000000001,204.85100000000008,39807.446,0.0122149999999999,0.9116803670426304,164673.49899996386,288793,-0.03471554197335003
2020-06-24,3842.068000000013,199.60199999999995,3642.466000000013,39040.921,0.01,0.999200319872051,300428.536999915,481144,-0.005068494694560499
2020-06-25,1767.5899999999947,463.7179999999992,1303.8719999999955,37000.836,0.01,1.4055809477988934,272566.5019999079,475386,-0.009480998907667626
2020-06-26,809.244999999999,390.12799999999953,419.11699999999945,38843.529,0.01,1.2639800769753224,249348.66999992845,445991,-0.016530393391535725
2020-06-27,3324.436999999998,636.8079999999999,2687.628999999998,41131.3,0.01,1.2789425706472195,237834.1299999093,421999,0.011512482108878785
2020-06-28,143.84400000000008,797.2089999999995,-653.3649999999994,41014.431,0.004867,1.2696323195642305,153842.8909999306,312794,0.008324956553215301
2020-06-29,210.48200000000008,412.03799999999944,-201.55599999999936,40874.291,0.01,1.2153300841825432,176609.80199997223,324547,-0.005892731677256791
2020-06-30,214.42199999999977,47.815000000000005,166.60699999999977,41523.588,0.01,1.199736031676199,142725.5529999579,262556,0.010173980210907985
2020-07-01,75.05700000000002,477.9469999999997,-402.8899999999997,41536.881,0.01,1.2084805653710249,161642.18499997503,283184,-0.015881512101218576
2020-07-02,2237.269999999995,212.62000000000052,2024.6499999999944,40887.087,0.01,1.0946795140343526,230743.11700001833,405777,-0.0031171490343044894
2020-07-03,160.09600000000026,13.967999999999993,146.12800000000027,40677.765,0.01,1.3946360153256707,96947.33799998964,206303,0.008486495706433672
2020-07-04,54.234000000000016,452.99500000000046,-398.7610000000004,40827.431,0.01,1.3132084200786494,100215.43799998048,187458,-0.007256331939538896
2020-07-05,1533.4770000000026,233.82399999999993,1299.6530000000027,40167.479,0.01,1.3255813953488371,139545.56599999574,257509,0.029848617569280478
2020-07-06,34.79600000000002,1164.535999999997,-1129.739999999997,42112.838,0.01,1.3441162681669012,199643.82800000784,333750,-0.00933367848898925
2020-07-07,253.6569999999998,55.23300000000002,198.4239999999998,42229.47,0.01,0.9853087155052612,127833.97499995364,249916,0.019116368674342965
2020-07-08,47.707000000000015,1110.7579999999975,-1063.0509999999974,44325.85,0.01,1.0193861066235863,170243.00099994385,304387,-0.0218162343476358
2020-07-09,1557.3819999999969,60.879999999999995,1496.5019999999968,41658.183,0.01,0.9968051118210864,188355.85599990824,327247,0.006037564295295894
2020-07-10,290.87099999999987,338.63700000000006,-47.76600000000019,40954.164,0.01,1.2326412145568209,140808.59499999412,255294,-0.005864277156991449
