date,long_liq,short_liq,liq_imbalance,open_interest,funding_rate,long_short_ratio,volume,trade_count
2019-09-12,,,,,,,7458.330999999943,9848
2019-09-13,,,,,,,19260.071000000393,28011
2019-09-14,,,,,,,20685.72799999982,28783
2019-09-15,,,,,,,20548.461000000156,25145
2019-09-16,,,,,,,19722.015000000723,28015
2019-09-17,,,,,,,22554.53800000014,28884
2019-09-18,,,,,,,20776.18300000084,28591
2019-09-19,,,,,,,26360.789000000503,37312
2019-09-20,,,,,,,23337.878000000743,29125
2019-09-21,,,,,,,23765.85000000013,29658
2019-09-22,,,,,,,24230.19100000038,30261
2019-09-23,,,,,,,32636.334999999857,37051
2019-09-24,,,,,,,74744.49299999271,104601
2019-09-25,,,,,,,48218.84799999991,77357
2019-09-26,,,,,,,60065.94499999965,94122
2019-09-27,,,,,,,40023.94500000539,66462
2019-09-28,,,,,,,33820.91900000329,54678
2019-09-29,,,,,,,35966.05600000032,61955
2019-09-30,,,,,,,54389.87999999656,81412
2019-10-01,,,,,,,39212.194999998035,68093
2019-10-02,,,,,,,30329.17900000132,52540
2019-10-03,,,,,,,33429.97500000429,60535
2019-10-04,,,,,,,28421.111000001983,55738
2019-10-05,,,,,,,30257.41700000382,54307
2019-10-06,,,,,,,41909.038999997705,71276
2019-10-07,,,,,,,62760.298999997554,85209
2019-10-08,,,,,,,44715.16499999692,61775
2019-10-09,,,,,,,65446.308000002056,84372
2019-10-10,,,,,,,44285.66799999878,62588
2019-10-11,,,,,,,69152.55099999817,84654
2019-10-12,,,,,,,37761.51400000008,51542
2019-10-13,,,,,,,43820.91299999631,59728
2019-10-14,,,,,,,61999.820999992866,69439
2019-10-15,,,,,,,86245.62700000568,76074
2019-10-16,,,,,,,70428.10100000189,73347
2019-10-17,,,,,,,58350.46500000041,62938
2019-10-18,,,,,,,988335.8110000632,84298
2019-10-19,,,,,,,78019.21399999723,78103
2019-10-20,,,,,,,78663.91499999052,92775
2019-10-21,,,,,,,59928.51599999877,76821
2019-10-22,,,,,,,69484.42299998605,86571
2019-10-23,,,,,,,108474.6609999988,147357
2019-10-24,,,,,,,66719.53399999194,83938
2019-10-25,,,,,,,165118.92599998598,241595
2019-10-26,,,,,,,248161.16099985212,391072
2019-10-27,,,,,,,163544.01899993568,240662
2019-10-28,,,,,,,155599.9749999544,219154
2019-10-29,,,,,,,124703.01399996722,182431
2019-10-30,,,,,,,98464.85799997348,176524
2019-10-31,,,,,,,98836.0439999817,184873
2019-11-01,,,,,,,87256.9489999901,168268
2019-11-02,,,,,,,56602.05499997781,115847
2019-11-03,,,,,,,75612.72200001463,189553
2019-11-04,,,,,,,90433.35699997174,167623
2019-11-05,,,,,,,113738.22599997546,186238
2019-11-06,,,,,,,73767.91099998608,132554
2019-11-07,,,,,,,77389.56899998793,127810
2019-11-08,,,,,,,151848.70099996997,234756
2019-11-09,,,,,,,66846.39199996782,135706
2019-11-10,,,,,,,91099.1969999583,175504
2019-11-11,,,,,,,113373.7619999297,227245
2019-11-12,,,,,,,107520.54599999076,206517
2019-11-13,,,,,,,58585.810999985195,120382
2019-11-14,,,,,,,87099.99499998809,157349
2019-11-15,,,,,,,144051.19600002852,263575
2019-11-16,,,,,,,48657.03999998166,115890
2019-11-17,,,,,,,72152.26599998042,157272
2019-11-18,,,,,,,123477.14199999713,262708
2019-11-19,,,,,,,110854.0299999942,213097
2019-11-20,,,,,,,87317.63100000529,172277
2019-11-21,,,,,,,180164.09899999708,308532
2019-11-22,,,,,,,370306.0719998197,764531
2019-11-23,,,,,,,139643.31099996538,288195
2019-11-24,,,,,,,183676.07799991377,373315
2019-11-25,,,,,,,333987.89099979546,670374
2019-11-26,,,,,,,193962.09399985583,371521
2019-11-27,,,,,,,297842.99399975303,555422
2019-11-28,,,,,,,175000.60899995491,310363
2019-11-29,,,,,,,185819.18599992144,330633
2019-11-30,,,,,,,141966.39199999778,250412
2019-12-01,,,,,,,195426.1389999424,344915
2019-12-02,,,,,,,143966.95299998063,261246
2019-12-03,,,,,,,84699.46999998647,161453
2019-12-04,,,,,,,274879.48100001784,403719
2019-12-05,,,,,,,175887.8739999606,309115
2019-12-06,,,,,,,136218.7070000056,256515
2019-12-07,,,,,,,83208.78199998113,156532
2019-12-08,,,,,,,84380.33799998827,149498
2019-12-09,,,,,,,136195.1049999839,240722
2019-12-10,,,,,,,49723.76214,0
2019-12-11,,,,,,,97320.72699998048,152711
2019-12-12,,,,,,,140594.10499999532,213352
2019-12-13,,,,,,,80092.87300000682,139357
2019-12-14,,,,,,,97837.5119998993,181282
2019-12-15,,,,,,,87933.23300000117,134281
2019-12-16,,,,,,,117597.89000000068,182961
2019-12-17,,,,,,,166411.28899993055,259697
2019-12-18,,,,,,,328489.59299982234,502376
2019-12-19,,,,,,,158846.777999985,242852
2019-12-20,,,,,,,86449.566,129836
2019-12-21,,,,,,,44340.8649999935,71893
2019-12-22,,,,,,,129797.39500002137,194913
2019-12-23,,,,,,,215298.78699997975,305893
2019-12-24,,,,,,,149081.0040000052,203260
2019-12-25,,,,,,,96965.07199999674,124562
2019-12-26,,,,,,,133973.53300000285,173980
2019-12-27,,,,,,,112284.61000000263,152470
2019-12-28,,,,,,,91292.88199998798,112313
2019-12-29,,,,,,,102543.97399998996,133611
2019-12-30,,,,,,,94375.36199998995,122893
2019-12-31,,,,,,,89203.43699999714,107365
2020-01-01,,,,,,,56801.32899999371,71359
2020-01-02,,,,,,,115295.67699995662,160454
2020-01-03,,,,,,,208493.4579999043,291080
2020-01-04,,,,,,,92586.03300000324,130686
2020-01-05,,,,,,,117765.97199998808,169760
2020-01-06,,,,,,,168150.31699994352,229523
2020-01-07,,,,,,,280809.16199998313,372824
2020-01-08,,,,,,,321225.1139998112,474107
2020-01-09,,,,,,,187261.44299999377,265425
2020-01-10,,,,,,,253783.9479999412,402629
2020-01-11,,,,,,,164741.71499997328,267191
2020-01-12,,,,,,,108629.96399998709,184271
2020-01-13,,,,,,,74581.36400000266,140530
2020-01-14,,,,,,,290777.98099979834,496908
2020-01-15,,,,,,,237633.8369999425,326286
2020-01-16,,,,,,,167958.58799997633,218299
2020-01-17,,,,,,,205717.68599995133,287608
2020-01-18,,,,,,,114708.68199999564,159449
2020-01-19,,,,,,,225314.52499984417,320374
2020-01-20,,,,,,,125154.89499999068,176634
2020-01-21,,,,16545.687,0.01574,,107572.2669999903,144383
2020-01-22,,,,17379.66,0.01,,94305.4959999928,128064
2020-01-23,,,,19009.584,0.052304,,163407.06399996317,235459
2020-01-24,,,,18402.031,0.017948,,144785.39099999113,219643
2020-01-25,53.80100000000001,76.07600000000001,-22.275,18262.485,0.01,,96961.70399999476,131795
2020-01-26,61.08700000000002,544.9359999999999,-483.84899999999993,18612.261,0.01,,117898.91599997946,154269
2020-01-27,218.826,1301.3089999999977,-1082.4829999999977,19093.294,0.01,,172235.32799989227,252483
2020-01-28,541.1110000000008,2014.242999999996,-1473.1319999999953,18349.233,0.054394,,242930.98899995256,311920
2020-01-29,260.9739999999999,316.54900000000004,-55.57500000000016,18923.375,0.053694,,169460.6429999887,240798
2020-01-30,541.4070000000002,526.8359999999998,14.571000000000367,19899.372,0.034852,,190137.5359999914,285473
2020-01-31,594.7619999999994,127.717,467.0449999999994,21006.272,0.039858,,146643.5060000041,184936
2020-02-01,114.40500000000009,125.29599999999996,-10.890999999999877,20997.227,0.049052,,109040.28500005815,167321
2020-02-02,582.8759999999995,208.225,374.6509999999995,20851.227,0.065524,,148402.97700006035,203286
2020-02-03,474.3599999999998,398.14099999999985,76.21899999999994,22227.597,0.01,,159040.80500009545,225123
2020-02-04,596.5159999999988,113.50799999999995,483.0079999999989,21675.503,0.038192,,147843.51000008787,202959
2020-02-05,167.15499999999997,1822.4050000000009,-1655.250000000001,22091.504,0.052631,,212306.33300009923,270439
2020-02-06,650.836999999999,487.5589999999999,163.27799999999905,21582.102,0.055668,,200546.62099988497,267684
2020-02-07,133.10199999999995,111.436,21.66599999999994,22270.641,0.034616,,129740.18600005723,178690
2020-02-08,278.3919999999998,355.5909999999999,-77.19900000000007,22780.653,0.0993149999999999,,129267.1810000479,169357
2020-02-09,187.63000000000008,921.4469999999984,-733.8169999999983,22730.434,0.113954,,143407.01300002146,194960
2020-02-10,1814.2579999999975,141.42900000000006,1672.8289999999974,25047.648,0.097918,,184242.73699995028,240684
2020-02-11,367.48799999999994,2124.596999999995,-1757.1089999999954,25055.001,0.05012,,190119.81500003263,283232
2020-02-12,239.40099999999995,585.4539999999992,-346.0529999999992,23004.195,0.103884,,159662.09699995694,246584
2020-02-13,1626.8569999999984,449.4420000000001,1177.4149999999981,23580.958,0.070414,,213038.33000006992,338762
2020-02-14,201.06900000000007,150.23899999999998,50.8300000000001,23954.858,0.055952,,130974.01199995396,191581
2020-02-15,3442.558000000001,54.626999999999995,3387.931000000001,23849.075,0.087369,,152146.12699998546,236661
2020-02-16,1412.704999999998,360.7739999999997,1051.9309999999984,21560.413,0.060847,,141547.95599996598,232120
2020-02-17,1054.8889999999978,227.05799999999996,827.8309999999979,23067.261,0.091076,,185338.16899993297,296826
2020-02-18,291.58099999999956,1006.1389999999984,-714.5579999999989,23934.9,0.0296619999999999,,166119.36899993056,309031
2020-02-19,4329.39100000001,258.222,4071.16900000001,20249.67,0.040757,,187485.67199987307,332375
2020-02-20,910.4470000000002,168.75300000000007,741.6940000000002,20145.669,0.01,,143102.4739999743,252344
2020-02-21,422.9969999999997,184.98600000000005,238.01099999999963,20156.076,0.01,,98954.2880000334,162769
2020-02-22,114.35399999999998,46.86000000000001,67.49399999999997,20731.447,0.012243,,58419.54699999943,100715
2020-02-23,72.72699999999998,688.6199999999999,-615.8929999999999,22153.376,0.065308,,97134.35800003904,167699
2020-02-24,1685.5869999999957,150.43699999999998,1535.1499999999958,21099.994,0.01,,157921.04399998346,255131
2020-02-25,1707.358999999994,234.679,1472.679999999994,21889.218,0.046949,,168641.72499996645,260939
2020-02-26,4277.959000000004,400.554,3877.4050000000043,20698.697,0.03866,,267005.17199967796,429930
2020-02-27,944.1029999999982,504.8509999999993,439.25199999999893,18356.841,0.01,,200638.48800007725,323451
2020-02-28,917.7779999999976,874.7980000000002,42.9799999999974,20823.845,0.023604,,196066.11000015092,347898
2020-02-29,440.0969999999995,103.356,336.74099999999953,21161.966,0.062345,,103524.68499998531,158743
2020-03-01,646.9079999999989,429.0599999999993,217.84799999999956,21294.57,0.0310329999999999,,174332.91599997587,251857
2020-03-02,128.15900000000008,587.3119999999997,-459.15299999999957,19854.317,0.01,,160294.4840000502,237593
2020-03-03,679.1969999999988,233.2319999999999,445.96499999999884,20111.086,0.01,,160123.6050000612,244371
2020-03-04,210.791,92.702,118.089,20980.886,0.024328,,105462.12000001543,163239
2020-03-05,170.64500000000035,878.5489999999985,-707.9039999999982,21671.446,0.019521,,161840.62300001062,221404
2020-03-06,299.48599999999976,163.577,135.90899999999976,23300.355,0.035706,,115011.58300002344,164347
2020-03-07,1313.7509999999977,149.16100000000003,1164.5899999999976,23115.656,0.032714,,125804.99899997938,180355
2020-03-08,6033.638000000003,419.907,5613.7310000000025,19212.374,0.042921,,237407.0279997317,337595
2020-03-09,2459.743999999996,1501.171999999999,958.5719999999972,19866.651,0.01,,334399.1069997526,494191
2020-03-10,1567.745999999999,1013.8299999999996,553.9159999999994,18955.334,0.01,,257049.43999974793,372220
2020-03-11,935.4249999999986,905.5589999999988,29.865999999999758,19920.31,0.0228979999999999,,220537.38099991085,309513
2020-03-12,23299.32700000021,6786.1449999999995,16513.182000000208,15279.619,-0.015149,,784674.5530004473,1214254
2020-03-13,17360.960000000185,12849.26700000016,4511.693000000025,14169.376,-0.0653779999999999,,935489.242002708,1995978
2020-03-14,2308.184999999999,1806.667999999999,501.51700000000005,15222.183,-0.050325,,316242.5859996786,609630
2020-03-15,2215.785999999998,3880.911000000002,-1665.125000000004,15862.775,-0.04879,,356311.7649996228,638612
