date,tx_volume_usd
2010-08-28,861.929599853
2010-08-29,469.5138
2010-08-30,944.537300028
2010-08-31,2427.5209
2010-09-01,1010.300400006
2010-09-02,1604.6628
2010-09-03,1513.3758
2010-09-04,1531.5042
2010-09-05,1828.3764
2010-09-06,1694.7888
2010-09-07,783.2022
2010-09-08,786.754200018
2010-09-09,1023.925200006
2010-09-10,594.225
2010-09-11,559.1766
2010-09-12,939.3114
2010-09-13,1688.811
2010-09-14,1218.6276237888
2010-09-15,2492.3502
2010-09-16,4101.552
2010-09-17,4175.8764
2010-09-18,2351.6856
2010-09-19,2135.7834
2010-09-20,1926.975
2010-09-21,989.0634
2010-09-22,1706.9796
2010-09-23,4105.2816
2010-09-24,1059.924
2010-09-25,1421.9406
2010-09-26,1207.464
2010-09-27,1767.6606
2010-09-28,4446.0202316964
2010-09-29,1472.1138
2010-09-30,1875.3306
2010-10-01,2111.7904359882
2010-10-02,17508.0792
2010-10-03,2186.6442
2010-10-04,4072.4898
2010-10-05,6137.536800012
2010-10-06,4998.297
2010-10-07,5650.5246
2010-10-08,8206.45
2010-10-09,14729.4
2010-10-10,10896.4656
2010-10-11,2945.2368
2010-10-12,5828.9436
2010-10-13,3541.591
2010-10-14,8569.171
2010-10-15,4345.6589
2010-10-16,11582.5608
2010-10-17,1243.605
2010-10-18,3527.157
2010-10-19,3621.433
2010-10-20,5410.44800000001
2010-10-21,6071.105
2010-10-22,2832.0886
2010-10-23,2386.8284
2010-10-24,9307.6451
2010-10-25,7509.2994
2010-10-26,9658.22559999999
2010-10-27,16422.7108
2010-10-28,16050.2234
2010-10-29,10160.5464
2010-10-30,6530.3057
2010-10-31,8933.9349
2010-11-01,4646.002
2010-11-02,4586.306
2010-11-03,6455.4273
2010-11-04,33948.6606
2010-11-05,8610.0816
2010-11-06,25863.5825
2010-11-07,9674.02
2010-11-08,195629.0635
2010-11-09,10425.7944
2010-11-10,8828.336
2010-11-11,5038.9014
2010-11-12,3352.9536
2010-11-13,5202.8366
2010-11-14,9223.884
2010-11-15,17381.277
2010-11-16,8488.5948
2010-11-17,8311.898
2010-11-18,8287.3056
2010-11-19,5037.0071
2010-11-20,12329.6376
2010-11-21,11834.0532
2010-11-22,4107.0641
2010-11-23,9171.2908
2010-11-24,7007.7021
2010-11-25,10748.892
2010-11-26,21817.138
2010-11-27,5373.5173
2010-11-28,3426.962
2010-11-29,8936.4492
2010-11-30,15045.9512
2010-12-01,9743.14119999999
2010-12-02,8956.0068
2010-12-03,5766.7
2010-12-04,11597.4112614152
2010-12-05,4808.66499999999
2010-12-06,15232.9082756668
2010-12-07,13195.2888967874
2010-12-08,3899.9076
2010-12-09,5589.14
2010-12-10,2885.0878
2010-12-11,7112.1288
2010-12-12,3622.086
2010-12-13,18809.7235042644
2010-12-14,3396.48566366581
2010-12-15,8149.5831
2010-12-16,4619.2975
2010-12-17,3451.603935955
2010-12-18,6476.2425
2010-12-19,37620.8825
2010-12-20,7003.3680713048
2010-12-21,15295.6728
2010-12-22,6122.8469817396
2010-12-23,2191.2072
2010-12-24,2646.905
2010-12-25,3678.52
2010-12-26,2132.7725
2010-12-27,14170.6773
2010-12-28,4167.2148711966
2010-12-29,12312.4836
2010-12-30,7736.61
2010-12-31,4067.241
2011-01-01,3756.462
2011-01-02,7008.423
2011-01-03,7795.668
2011-01-04,3301.215234534
2011-01-05,5556.873
2011-01-06,4357.029
2011-01-07,6019.13819997
2011-01-08,8877.1623506144
2011-01-09,4105.7903012256
2011-01-10,13484.0989535456
2011-01-11,20325.5501291403
2011-01-12,7780.71690000001
2011-01-13,20276.7353779932
2011-01-14,21755.4834
2011-01-15,6301.2446137344
2011-01-16,15396.717020928
2011-01-17,11251.942615552
2011-01-18,26662.24
2011-01-19,13865.6361089902
2011-01-20,8350.317376275
2011-01-21,9615.6879657
2011-01-22,13223.8008858384
2011-01-23,21588.5585
2011-01-24,9791.80794878881
2011-01-25,10298.9287441744
2011-01-26,11572.891
2011-01-27,307395.0474
2011-01-28,8826.567
2011-01-29,7266.474
2011-01-30,8352.31391664301
2011-01-31,21670.848
2011-02-01,42517.305
2011-02-02,55187.948
2011-02-03,35919.075
2011-02-04,23196.5994
2011-02-05,39026.1889323264
2011-02-06,31946.1004716192
2011-02-07,108265.274930908
2011-02-08,18527.715
2011-02-09,58111.040613808
2011-02-10,34316.2877544102
2011-02-11,54736.8849013248
2011-02-12,24978.4888
2011-02-13,26628.6891
2011-02-14,53457.9156
2011-02-15,33518.2212
2011-02-16,20771.3808
2011-02-17,19951.407
2011-02-18,45079.346010048
2011-02-19,21431.7965681664
2011-02-20,44346.16951424
2011-02-21,17259.9228
2011-02-22,28534.9592
2011-02-23,24699.0219
2011-02-24,34667.770038528
2011-02-25,28442.3616
2011-02-26,45425.8
2011-02-27,82776.9147239552
2011-02-28,43059.0725280768
2011-03-01,218777.7173
2011-03-02,163542.616968422
2011-03-03,21989.156
2011-03-04,41221.1453553542
