date,Close,log_return,garch_vol,realized_vol,tr,atr,vov,downside_vol,vol_momentum,vol_rank,vol_regime,crash_flag,model2_volatility
2024-08-13 00:00:00+00:00,60587.15,0.020687318243457,0.0406993425608399,0.0460593521385528,3185.220000000001,3802.7642857142855,0.0077949614935608,0.041129374146882,0.0030176854011101,0.9404761904761904,2,0,0.042487405536503944
2024-08-14 00:00:00+00:00,58683.39,-0.0319261018184242,0.0391785661964219,0.0463454991701009,3366.8199999999997,3877.591428571428,0.0072373183662549,0.0418081763563503,0.0016216961222425,0.9246031746031746,2,0,0.04150657851785314
2024-08-15 00:00:00+00:00,57541.06,-0.0196579426462015,0.0385092141698941,0.0461532208117055,3770.839999999997,3907.0957142857137,0.0065197245891901,0.0399580663404786,0.0023933102787931,0.9166666666666666,2,0,0.041020442101936457
2024-08-16 00:00:00+00:00,58874.6,0.0229109783372543,0.0371434832075576,0.0443247170037748,2719.1399999999994,3789.4535714285703,0.0054860620251388,0.036524131138102,-0.011249649574487,0.8809523809523809,2,0,0.04012095392453456
2024-08-17 00:00:00+00:00,59491.99,0.0104319233822085,0.0360841157165569,0.0443630933250177,914.9499999999972,3687.077142857142,0.0050820683268349,0.0387307593084287,-0.0098728518645201,0.8452380952380952,2,0,0.039129559829934144
2024-08-18 00:00:00+00:00,58427.35,-0.0180575795170021,0.0345866485405731,0.0430701893193357,1876.0699999999997,3535.734999999999,0.0045728442505159,0.0358641636142523,-0.0089326488662335,0.8055555555555556,1,0,0.038053005124343856
2024-08-19 00:00:00+00:00,59438.5,0.0171580624359464,0.0335213347696298,0.0375190470416659,1830.3299999999945,3001.787857142856,0.0043464855873544,0.0243071084017144,-0.0092368100273678,0.75,1,0,0.03281001286177788
2024-08-20 00:00:00+00:00,59013.8,-0.0071708496985927,0.0325178084307267,0.0366742351302815,2851.769999999997,2984.7007142857133,0.0047082545622995,0.022666634379054,-0.0081815341301132,0.7063492063492064,1,0,0.03158741905843602
2024-08-21 00:00:00+00:00,61156.03,0.0356571523861468,0.0312616675159891,0.037134939357473,3037.459999999999,2974.702857142856,0.0051413441183517,0.0235981228582103,-0.0079168986804327,0.6349206349206349,1,0,0.03061401970959346
2024-08-22 00:00:00+00:00,60375.84,-0.0128394423275786,0.031920844398928,0.0218703250819647,1675.1299999999974,2521.8449999999984,0.0054117058705614,0.022380092218214,-0.0065883697709661,0.6666666666666666,1,0,0.0307232746393568
2024-08-23 00:00:00+00:00,64037.24,0.0588757642166264,0.0308880399903623,0.0268013959142547,4612.860000000001,2693.5228571428556,0.0048952856838683,0.0235034302405694,-0.0062554432171952,0.5992063492063492,1,0,0.03015105519421738
2024-08-24 00:00:00+00:00,64157.01,0.0018685710918955,0.0346335528587985,0.0267986789909469,963.5,2674.5885714285696,0.0041936427612931,0.0235034302405694,-0.0014505628577583,0.8055555555555556,1,0,0.0321597117152791
2024-08-25 00:00:00+00:00,64220.0,0.0009813284334168,0.0331210023408799,0.0241590330223347,1226.7300000000032,2507.1214285714273,0.0036944678406658,0.0197385877361964,-0.0014656461996932,0.7222222222222222,1,0,0.03212509180452794
2024-08-26 00:00:00+00:00,62834.0,-0.0218183604181234,0.0317373169066148,0.0252518877193859,1681.0,2407.987142857142,0.00316181837072,0.0201001661702615,-0.0017840178630149,0.6468253968253969,1,0,0.03087231334396888
2024-08-27 00:00:00+00:00,59415.0,-0.0559496085012547,0.031182349229828,0.0293488004465091,5177.989999999998,2550.327857142856,0.0027718152675228,0.0281690274995083,-0.0013354592008987,0.6150793650793651,1,0,0.0301957715378968
