date,future_ret,signal_1,signal_1_missing,signal_2,signal_2_missing,signal_3,signal_3_missing,signal_4,signal_4_missing,signal_6,signal_6_missing
2018-01-01,0.09679446935724978,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
2018-01-02,0.01665404893046807,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
2018-01-03,0.009385696983345904,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
2018-01-04,0.1262223148914241,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
2018-01-05,0.0064503233711017405,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
2018-01-06,-0.05388232661327408,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
2018-01-07,-0.0772438193613263,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
2018-01-08,-0.03372176823548201,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
2018-01-09,0.03521458333333327,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
2018-01-10,-0.11191386112245916,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
2018-01-11,0.03786073943369406,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
2018-01-12,0.034205943081555334,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
2018-01-13,-0.05172484166080227,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
2018-01-14,0.004819298567197539,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
2018-01-15,-0.19497368154783667,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
2018-01-16,0.0081458715596332,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
2018-01-17,-0.0024406690818553622,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
2018-01-18,0.046799069875214094,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
2018-01-19,0.115465124993682,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
2018-01-20,-0.09921452756809801,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
2018-01-21,-0.06677797051170864,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
2018-01-22,0.0036366002016721133,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
2018-01-23,0.05100479851247952,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
2018-01-24,-0.015393846161978919,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
2018-01-25,-0.007719723997720029,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
2018-01-26,0.03625214176210667,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
2018-01-27,0.0338482290488209,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
2018-01-28,-0.05294214201238223,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
2018-01-29,-0.09007999288952095,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
2018-01-30,0.004648591307847338,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
2018-01-31,-0.1031181028867002,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
2018-02-01,-0.03810387965986306,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
2018-02-02,0.03684536173099806,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
2018-02-03,-0.11034287105596097,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
2018-02-04,-0.15208905276970397,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
2018-02-05,0.10261542163605442,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
2018-02-06,-0.006944462594777434,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
2018-02-07,0.02434794051848943,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
2018-02-08,0.11560864437655605,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
2018-02-09,-0.01726639582124212,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
