Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2018-01-01 00:00:00.000000 UTC,13715.65,13818.55,12750.0,13380.0,8609.915844,2018-01-01 23:59:59.999000 UTC,114799747.44197056,105595.0,3961.938946,52809747.44038045,0.0
2018-01-02 00:00:00.000000 UTC,13382.16,15473.49,12890.02,14675.11,20078.092111,2018-01-02 23:59:59.999000 UTC,279717107.4337192,177728.0,11346.326739,158080088.68331683,0.0
2018-01-03 00:00:00.000000 UTC,14690.0,15307.56,14150.0,14919.51,15905.667639,2018-01-03 23:59:59.999000 UTC,236116868.33619007,162787.0,8994.953566,133587333.24534808,0.0
2018-01-04 00:00:00.000000 UTC,14919.51,15280.0,13918.04,15059.54,21329.649574,2018-01-04 23:59:59.999000 UTC,312781583.79830784,170310.0,12680.812951,186116793.0115893,0.0
2018-01-05 00:00:00.000000 UTC,15059.56,17176.24,14600.0,16960.39,23251.491125,2018-01-05 23:59:59.999000 UTC,369321956.4868375,192969.0,13346.622293,211829900.67898223,0.0
2018-01-06 00:00:00.000000 UTC,16960.39,17143.13,16011.21,17069.79,18571.457508,2018-01-06 23:59:59.999000 UTC,309216920.9864104,158242.0,11007.164056,183417769.0623772,0.0
2018-01-07 00:00:00.000000 UTC,17069.79,17099.96,15610.0,16150.03,12493.125558,2018-01-07 23:59:59.999000 UTC,206194706.37068355,120269.0,6779.320508,112151163.1274352,0.0
2018-01-08 00:00:00.000000 UTC,16218.85,16322.3,12812.0,14902.54,26600.609912,2018-01-08 23:59:59.999000 UTC,396569997.15746266,208642.0,13756.844389,206049582.13668823,0.0
2018-01-09 00:00:00.000000 UTC,14902.54,15500.0,14011.05,14400.0,14315.004253,2018-01-09 23:59:59.999000 UTC,210630187.45766863,156656.0,6841.233287,100698572.9000214,0.0
2018-01-10 00:00:00.000000 UTC,14401.0,14955.66,13131.31,14907.09,17411.001655,2018-01-10 23:59:59.999000 UTC,244011366.763028,161476.0,8529.554675,119570139.80645348,0.0
