date,hash_rate,difficulty,tx_count,tx_volume_usd,miner_revenue,hash_rate_7d_pct,hash_rate_30d_pct,hash_rate_z,difficulty_7d_pct,difficulty_30d_pct,difficulty_z,tx_count_7d_pct,tx_count_30d_pct,tx_count_z,tx_volume_usd_7d_pct,tx_volume_usd_30d_pct,tx_volume_usd_z,miner_revenue_7d_pct,miner_revenue_30d_pct,miner_revenue_z,miner_rev_ma30,miner_stress_flag,network_activity_index,onchain_regime
2009-02-01,5.76639127703704e-06,1.0,114.0,,0.0,-0.402061855670103,,0.5024689617300615,0.0,,0.43969686527576385,-0.40625,,,,,,,,,0.0,0,0.47108291350291265,1
2009-02-02,6.31320424296296e-06,1.0,129.0,,0.0,0.09482758620689546,126.00000000000001,0.6804174758788613,0.0,0.0,0.4313979814072881,0.3298969072164948,,,,,,,,,0.0,0,0.5559077286430747,1
2009-02-03,6.76059666962963e-06,1.0,155.0,,0.0,0.32038834951456363,inf,0.818780735794421,0.0,inf,0.4235541856104697,0.5816326530612246,,,,,,,,,0.0,0,0.6211674607024453,1
2009-02-04,6.11436316444444e-06,1.0,119.0,,0.0,0.19417475728155287,inf,0.5740683225534687,0.0,inf,0.4161251892882395,0.0625,,,,,,,,,0.0,0,0.4950967559208541,1
2009-02-05,6.01494262518519e-06,1.0,126.0,,0.0,-0.008196721311473865,inf,0.5278104967203612,0.0,inf,0.4090755421540636,0.032786885245901676,,,,,,,,,0.0,0,0.4684430194372124,1
2009-02-06,6.41262478222222e-06,1.0,122.0,,0.0,0.06611570247933751,inf,0.6604842415416318,0.0,inf,0.40237390808147844,0.042735042735042805,,,,,,,,,0.0,0,0.5314290748115551,1
2009-02-07,6.26349397333333e-06,1.0,133.0,,0.0,-0.023255813953488524,inf,0.5937724350240912,0.0,inf,0.39599246942624283,-0.043165467625899234,,,,,,,,,0.0,0,0.494882452225167,1
2009-02-08,6.66117613037037e-06,1.0,133.0,,0.0,0.15517241379310276,8.571428571428568,0.7274792126236472,0.0,0.0,0.38990643368252714,0.16666666666666674,,,,,,,,,0.0,0,0.5586928231530872,1
2009-02-09,6.36291451259259e-06,1.0,135.0,,0.0,0.007874015748031482,3.1290322580645107,0.6039313965236641,0.0,0.0,0.38409362229254135,0.04651162790697683,,,,,,,,,0.0,0,0.4940125094081027,1
2009-02-10,6.31320424296296e-06,1.0,120.0,,0.0,-0.06617647058823573,0.19811320754716943,0.5750774260399864,0.0,0.0,0.3785341258916494,-0.22580645161290325,,,,,,,,,0.0,0,0.47680577596581786,1
2009-02-11,6.51204532148148e-06,1.0,135.0,,0.0,0.06504065040650464,0.47191011235954927,0.6399706801427976,0.0,0.0,0.3732100136460895,0.134453781512605,,,,,,,,,0.0,0,0.5065903468944435,1
2009-02-12,5.8658118162963e-06,1.0,119.0,,0.0,-0.024793388429752206,0.026086956521739202,0.3845495310193899,0.0,0.0,0.36810508691615523,-0.05555555555555558,,,,,,,,,0.0,0,0.37632730896777256,1
2009-02-13,6.16407343407407e-06,1.0,124.0,,0.0,-0.03875968992248091,-0.01587301587301604,0.4938280864386895,0.0,0.0,0.36320466946011587,0.016393442622950838,,,,,,,,,0.0,0,0.42851637794940267,1
2009-02-14,7.00914801777778e-06,1.0,136.0,,0.0,0.11904761904761996,0.11023622047244186,0.8113718936033562,0.0,0.0,0.3584954279321079,0.022556390977443552,,,,,,,,,0.0,0,0.584933660767732,1
2009-02-15,6.06465289481481e-06,1.0,131.0,,0.0,-0.08955223880597074,0.05172413793103314,0.4312330783850364,0.0,0.0,0.3539652176293249,-0.015037593984962405,,0.2552725548960151,,,,,,,0.0,0,0.3468236169701255,1
2009-02-16,6.11436316444444e-06,1.0,123.0,,0.0,-0.03906250000000033,0.13888888888888795,0.44516800545062724,0.0,0.0,0.3496029493900507,-0.0888888888888889,0.12844036697247696,-0.0661163727534022,,,,,,,0.0,0,0.24288486069575857,1
2009-02-17,5.8658118162963e-06,1.0,117.0,,0.0,-0.07086614173228245,0.1683168316831698,0.3406702955539799,0.0,0.0,0.34539847429387815,-0.025000000000000022,0.08333333333333326,-0.3068323461892917,,,,,,,0.0,0,0.1264121412195221,1
2009-02-18,6.16407343407407e-06,1.0,118.0,,0.0,-0.053435114503817216,0.042016806722687594,0.4564107189590982,0.0,0.0,0.34134248341332524,-0.12592592592592589,0.008547008547008517,-0.26101903982023317,,,,,,,0.0,0,0.17891138751739674,1
2009-02-19,5.81610154666667e-06,1.0,125.0,,0.0,-0.008474576271186418,0.008620689655172598,0.30973219084512793,0.0,0.0,0.3374264203456611,0.050420168067226934,0.08695652173913038,0.0340498284135958,,,,,,,0.0,0,0.22706947986812828,1
2009-02-20,6.36291451259259e-06,1.0,122.0,,0.0,0.03225806451612945,0.1327433628318575,0.5298887508997728,0.0,0.0,0.33364240464065276,-0.016129032258064502,0.161904761904762,-0.09324995084570864,,,,,,,0.0,0,0.25676040156490565,1
