date,vol_regime,macro_signal,macro_regime,tradable
2020-12-11,1.0,0.2438757121562957,0,1
2020-12-12,1.0,0.2641274929046631,0,1
2020-12-13,1.0,0.238080620765686,0,1
2020-12-14,1.0,0.2274346053600311,0,1
2020-12-15,1.0,0.2145130336284637,0,1
2020-12-16,1.0,0.1860367059707641,0,1
2020-12-17,1.0,0.1374426782131195,0,1
2020-12-18,1.0,0.1026355251669883,0,1
2020-12-19,1.0,0.104875236749649,0,1
2020-12-20,1.0,0.1276082098484039,0,1
2020-12-21,1.0,0.1547031700611114,0,1
2020-12-22,1.0,0.1748530268669128,0,1
2020-12-23,1.0,0.1899544596672058,0,1
2020-12-24,1.0,0.1956753134727478,0,1
2020-12-25,1.0,0.1941235065460205,0,1
2020-12-26,1.0,0.1911562085151672,0,1
2020-12-27,1.0,0.1958427131175995,0,1
2020-12-28,1.0,0.214565098285675,0,1
2020-12-29,1.0,0.2480716407299041,0,1
2020-12-30,1.0,0.2902739346027374,0,1
2020-12-31,1.0,0.3254007995128631,0,1
2021-01-01,1.0,0.3431080281734466,0,1
2021-01-02,1.0,0.258727103471756,0,1
2021-01-03,1.0,0.1665318310260772,0,1
2021-01-04,1.0,0.1059096083045005,0,1
2021-01-05,1.0,0.07294712215662,0,1
2021-01-06,1.0,0.0318799540400505,0,1
2021-01-07,1.0,-0.0182329788804054,1,0
2021-01-08,1.0,-0.0685763955116272,1,0
2021-01-09,1.0,-0.0975836142897605,1,0
2021-01-10,1.0,-0.0690970346331596,1,0
2021-01-11,1.0,0.0206970795989036,0,1
2021-01-12,1.0,0.0740032643079757,0,1
2021-01-13,1.0,0.0272227469831705,0,1
2021-01-14,1.0,-0.0719556584954261,1,0
2021-01-15,1.0,-0.1093663200736045,1,0
2021-01-16,1.0,-0.1218271479010582,1,0
2021-01-17,1.0,-0.1279351711273193,1,0
2021-01-18,1.0,-0.1210598424077034,1,0
2021-01-19,1.0,-0.0983389839529991,1,0
2021-01-20,1.0,-0.0658928230404853,1,0
2021-01-21,1.0,-0.0292538255453109,1,0
2021-01-22,1.0,0.0083765760064125,0,1
2021-01-23,1.0,0.0430345311760902,0,1
2021-01-24,1.0,0.0720921978354454,0,1
2021-01-25,1.0,0.0947582870721817,0,1
2021-01-26,1.0,0.1111832484602928,0,1
2021-01-27,1.0,0.1227090135216713,0,1
2021-01-28,1.0,0.1314072906970977,0,1
