date,future_ret,signal_1,signal_1_missing,signal_2,signal_2_missing,signal_3,signal_3_missing,signal_4,signal_4_missing,signal_6,signal_6_missing,direction
2018-01-01,0.0967944693572497,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,1
2018-01-02,0.016654048930468,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,1
2018-01-03,0.0093856969833459,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,1
2018-01-04,0.1262223148914241,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,1
2018-01-05,0.0064503233711017,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,1
2018-01-06,-0.053882326613274,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0
2018-01-07,-0.0772438193613263,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0
2018-01-08,-0.033721768235482,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0
2018-01-09,0.0352145833333332,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,1
2018-01-10,-0.1119138611224591,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0
2018-01-11,0.037860739433694,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,1
2018-01-12,0.0342059430815553,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,1
2018-01-13,-0.0517248416608022,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0
2018-01-14,0.0048192985671975,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,1
2018-01-15,-0.1949736815478366,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0
2018-01-16,0.0081458715596332,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,1
2018-01-17,-0.0024406690818553,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0
2018-01-18,0.046799069875214,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,1
2018-01-19,0.115465124993682,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,1
2018-01-20,-0.099214527568098,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0
2018-01-21,-0.0667779705117086,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0
2018-01-22,0.0036366002016721,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,1
2018-01-23,0.0510047985124795,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,1
2018-01-24,-0.0153938461619789,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0
